Data,Waluta,Kwota_Fiat,Kurs_NBP_T1,Koszt_PLN,Kontrakt
2025-02-03T03:55:43.000000,PLN,4947.90895,1.0,4947.91,BTCPLN
2025-02-04T18:23:08.000000,PLN,4949.595,1.0,4949.6,USDTPLN
2025-02-12T20:16:21.000000,PLN,492.514,1.0,492.51,USDTPLN
2025-02-12T20:16:21.000000,PLN,278.829,1.0,278.83,USDTPLN
2025-02-12T20:16:21.000000,PLN,678.888,1.0,678.89,USDTPLN
2025-02-12T20:16:24.000000,PLN,792.036,1.0,792.04,USDTPLN
2025-02-12T20:16:53.000000,PLN,339.444,1.0,339.44,USDTPLN
2025-02-12T20:19:02.000000,PLN,303.075,1.0,303.07,USDTPLN
2025-02-12T20:19:02.000000,PLN,3055.752,1.0,3055.75,USDTPLN
2025-02-25T22:36:17.000000,PLN,7915.74,1.0,7915.74,USDTPLN
2025-02-26T11:36:28.000000,PLN,994.25,1.0,994.25,USDTPLN
2025-03-02T16:32:47.000000,PLN,3840.84,1.0,3840.84,USDTPLN
2025-03-02T16:32:47.000000,PLN,408.7,1.0,408.7,USDTPLN
2025-03-02T16:32:47.000000,PLN,698.877,1.0,698.88,USDTPLN
2025-03-11T15:25:36.000000,PLN,998.445,1.0,998.45,USDTPLN
2025-03-11T15:25:36.000000,PLN,998.445,1.0,998.45,USDTPLN
2025-03-11T15:25:37.000000,PLN,998.445,1.0,998.45,USDTPLN
2025-03-11T15:25:37.000000,PLN,998.445,1.0,998.45,USDTPLN
2025-03-11T15:25:40.000000,PLN,959.595,1.0,959.6,USDTPLN
2025-04-06T22:19:02.000000,PLN,3960.4825,1.0,3960.48,USDTPLN
2025-06-05T19:27:41.000000,PLN,2970.0254,1.0,2970.03,USDTPLN
2025-07-10T20:09:22.000000,PLN,20.4232,1.0,20.42,USDTPLN
2025-07-10T20:09:22.000000,PLN,524.0739,1.0,524.07,USDTPLN
2025-07-10T20:09:22.000000,PLN,199.8556,1.0,199.86,USDTPLN
2025-07-10T20:09:28.000000,PLN,199.8556,1.0,199.86,USDTPLN
2025-07-10T20:09:29.000000,PLN,199.8556,1.0,199.86,USDTPLN
2025-07-10T20:09:29.000000,PLN,98.469,1.0,98.47,USDTPLN
2025-07-10T20:09:29.000000,PLN,199.8556,1.0,199.86,USDTPLN
2025-07-10T20:09:29.000000,PLN,199.8556,1.0,199.86,USDTPLN
2025-07-10T20:09:29.000000,PLN,199.8556,1.0,199.86,USDTPLN
2025-07-10T20:09:30.000000,PLN,199.8556,1.0,199.86,USDTPLN
2025-07-10T20:09:30.000000,PLN,199.8556,1.0,199.86,USDTPLN
2025-07-10T20:09:30.000000,PLN,98.469,1.0,98.47,USDTPLN
2025-07-10T20:09:31.000000,PLN,199.8556,1.0,199.86,USDTPLN
2025-07-10T20:09:31.000000,PLN,199.8556,1.0,199.86,USDTPLN
2025-07-10T20:09:31.000000,PLN,98.469,1.0,98.47,USDTPLN
2025-07-10T20:09:31.000000,PLN,98.469,1.0,98.47,USDTPLN
2025-07-10T20:09:37.000000,PLN,33.1877,1.0,33.19,USDTPLN
2025-08-14T22:02:43.000000,PLN,2474.7464,1.0,2474.75,USDTPLN
2025-08-29T14:02:48.000000,EUR,10.2876,4.2681,43.91,USDTEUR
2025-08-29T14:03:03.000000,EUR,128.655011,4.2681,549.11,USDTEUR
2025-08-29T14:03:18.000000,EUR,791.056429,4.2681,3376.31,USDTEUR
2025-09-08T06:35:23.000000,EUR,712.000154,4.2476,3024.29,USDTEUR
2025-09-26T06:00:17.000000,EUR,5.851944,4.2619,24.94,USDTEUR
2025-09-26T06:02:41.000000,EUR,13.931568,4.2619,59.37,USDTEUR
2025-09-26T06:04:05.000000,EUR,4.292568,4.2619,18.29,USDTEUR
2025-09-26T06:05:37.000000,EUR,100.905336,4.2619,430.05,USDTEUR
2025-09-26T06:05:40.000000,EUR,2.01348,4.2619,8.58,USDTEUR
2025-09-26T06:06:59.000000,EUR,257.07,4.2619,1095.61,USDTEUR
2025-09-26T06:07:59.000000,EUR,102.828,4.2619,438.24,USDTEUR
2025-09-26T06:08:00.000000,EUR,448.107286,4.2619,1909.79,USDTEUR
