Czas,Konto,Operacja,Moneta,Zmien,Uwagi
24-10-16 13:43:49,Spot,Buy Crypto With Fiat,USDC,23.79606329,Ref
24-10-16 13:48:12,Spot,Transaction Fee,SUI,-0.00285,
24-10-16 13:48:12,Spot,Transaction Buy,SUI,3,
24-10-16 13:48:12,Spot,Transaction Spend,USDC,-6.2517,
24-10-16 14:33:06,Spot,Transaction Fee,SUI,-0.00285,
24-10-16 14:33:06,Spot,Transaction Spend,USDC,-6.0996,
24-10-16 14:33:06,Spot,Transaction Buy,SUI,3,
24-10-18 11:34:51,Spot,Transaction Spend,USDC,-10.43,
24-10-18 11:34:51,Spot,Transaction Fee,NEO,-0.001,
24-10-18 11:34:51,Spot,Transaction Buy,NEO,1,
24-11-27 22:21:42,Spot,Buy Crypto With Fiat,USDC,23.04314941,Ref
24-11-27 22:26:35,Spot,Transaction Buy,ETH,0.004,
24-11-27 22:26:35,Spot,Transaction Spend,USDC,-14.49388,
24-11-27 22:26:35,Spot,Transaction Fee,ETH,-0.000004,
24-11-27 22:53:42,Spot,Buy Crypto With Fiat,USDC,23.05558456,Ref
24-11-27 23:25:53,Spot,Transaction Fee,NEAR,-0.001,
24-11-27 23:25:53,Spot,Transaction Spend,USDC,-6.7,
24-11-27 23:25:53,Spot,Transaction Buy,NEAR,1,
24-11-28 05:32:41,Spot,Transaction Buy,ADA,5.1,
24-11-28 05:32:41,Spot,Transaction Spend,USDC,-5.049,
24-11-28 05:32:41,Spot,Transaction Fee,ADA,-0.0051,
24-12-05 19:26:51,Spot,Transaction Spend,USDC,-7.2414,
24-12-05 19:26:51,Spot,Transaction Fee,XRP,-0.00285,
24-12-05 19:26:51,Spot,Transaction Buy,XRP,3,
24-12-09 21:33:08,Spot,Buy Crypto With Fiat,USDC,46.58660549,Ref
24-12-09 21:37:42,Spot,Transaction Buy,ETH,0.01,
24-12-09 21:37:42,Spot,Transaction Fee,ETH,-0.00001,
24-12-09 21:37:42,Spot,Transaction Spend,USDC,-38.2,
24-12-10 07:28:53,Spot,Transaction Fee,ETH,-0.000004,
24-12-10 07:28:53,Spot,Transaction Buy,ETH,0.004,
24-12-10 07:28:53,Spot,Transaction Spend,USDC,-14.75148,
24-12-10 07:30:10,Spot,Transaction Buy,ETH,0.0019,
24-12-10 07:30:10,Spot,Transaction Fee,ETH,-0.0000019,
24-12-10 07:30:10,Spot,Transaction Spend,USDC,-7.00872,
24-12-23 02:59:53,Spot,Simple Earn Locked Rewards,DEXE,0.00002739,Binance Earn
24-12-23 03:00:23,Spot,Simple Earn Locked Rewards,EIGEN,0.00013698,Binance Earn
24-12-24 03:00:38,Spot,Simple Earn Locked Rewards,DEXE,0.00002739,Binance Earn
24-12-24 03:01:10,Spot,Simple Earn Locked Rewards,EIGEN,0.00013698,Binance Earn
24-12-25 03:00:21,Spot,Simple Earn Locked Rewards,DEXE,0.00002739,Binance Earn
24-12-25 03:00:53,Spot,Simple Earn Locked Rewards,EIGEN,0.00013698,Binance Earn
24-12-26 03:00:32,Spot,Simple Earn Locked Rewards,DEXE,0.00002739,Binance Earn
24-12-26 03:01:05,Spot,Simple Earn Locked Rewards,EIGEN,0.00013698,Binance Earn
24-12-27 03:10:59,Spot,Simple Earn Locked Rewards,DEXE,0.00002739,Binance Earn
24-12-27 03:11:30,Spot,Simple Earn Locked Rewards,EIGEN,0.00013698,Binance Earn
24-12-28 03:11:18,Spot,Simple Earn Locked Rewards,DEXE,0.00002739,Binance Earn
24-12-28 03:11:49,Spot,Simple Earn Locked Rewards,EIGEN,0.00013698,Binance Earn
24-12-29 03:10:34,Spot,Simple Earn Locked Rewards,DEXE,0.00002739,Binance Earn
24-12-29 03:11:04,Spot,Simple Earn Locked Rewards,EIGEN,0.00013698,Binance Earn
24-12-30 03:10:42,Spot,Simple Earn Locked Rewards,DEXE,0.00002739,Binance Earn
24-12-30 03:11:12,Spot,Simple Earn Locked Rewards,EIGEN,0.00013698,Binance Earn
24-12-31 03:01:01,Spot,Simple Earn Locked Rewards,DEXE,0.00002739,Binance Earn
24-12-31 03:01:32,Spot,Simple Earn Locked Rewards,EIGEN,0.00013698,Binance Earn
